epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.42371,0.56834,0.34573,0.91022,0.94193,1,0.995,0.63584,1.48804,0.63302,1.78504,1.111e-05,1.111e-05,1.111e-05
2,2.24226,0.58006,0.38,0.90691,0.93296,0.9978,0.995,0.61308,1.50548,0.6433,1.80919,3.27801e-05,3.27801e-05,3.27801e-05
3,2.94599,0.55317,0.39654,0.92715,0.9374,1,0.995,0.60407,1.51559,0.65234,1.82251,5.37169e-05,5.37169e-05,5.37169e-05
4,3.61242,0.65665,0.39119,1.02202,0.91075,1,0.995,0.6268,1.54373,0.60781,1.83412,7.39204e-05,7.39204e-05,7.39204e-05
5,4.27371,0.58543,0.40737,0.93553,0.90586,1,0.985,0.59783,1.56103,0.61288,1.86173,9.33907e-05,9.33907e-05,9.33907e-05
6,4.94487,0.53484,0.39397,0.93899,0.92615,0.99934,0.985,0.54899,1.62054,0.60017,1.95576,0.000112128,0.000112128,0.000112128
7,5.61643,0.56136,0.37547,0.91596,0.92991,1,0.985,0.54717,1.6301,0.59305,1.99183,0.000130131,0.000130131,0.000130131
8,6.28887,0.59722,0.48374,0.9764,0.93389,1,0.985,0.54819,1.62254,0.63679,2.04342,0.000147402,0.000147402,0.000147402
9,6.93318,0.64546,0.42181,0.92476,0.93779,1,0.985,0.54218,1.63437,0.66206,2.07542,0.000163939,0.000163939,0.000163939
10,7.57498,0.58446,0.42244,0.93592,0.93885,1,0.965,0.53571,1.64985,0.67474,2.10607,0.000179743,0.000179743,0.000179743
11,8.23359,0.60085,0.35122,0.96182,0.94004,1,0.965,0.52443,1.6628,0.67436,2.06769,0.000194814,0.000194814,0.000194814
12,8.87696,0.58766,0.36462,0.91728,0.92809,1,0.965,0.52854,1.64727,0.68434,1.98923,0.000209151,0.000209151,0.000209151
13,9.52038,0.51483,0.32816,0.90851,0.92006,0.99429,0.975,0.53309,1.60585,0.64948,1.96589,0.000222756,0.000222756,0.000222756
14,10.1653,0.60075,0.37485,0.97532,0.92761,0.99451,0.975,0.57415,1.56063,0.6185,1.94736,0.000235626,0.000235626,0.000235626
15,10.8062,0.58607,0.37504,0.93859,0.93927,1,0.975,0.60347,1.56047,0.59752,1.96055,0.000247764,0.000247764,0.000247764
16,11.4487,0.67697,0.39441,0.95278,0.92854,1,0.995,0.59111,1.61525,0.61175,2.03044,0.000259169,0.000259169,0.000259169
17,12.0948,0.61676,0.4149,0.96868,0.92347,1,0.995,0.58399,1.68399,0.62585,2.12134,0.00026984,0.00026984,0.00026984
18,12.7478,0.68127,0.41979,0.96437,0.94287,0.99512,0.995,0.62476,1.65282,0.60378,2.06955,0.000279778,0.000279778,0.000279778
19,13.4014,0.55943,0.34549,0.94186,0.93483,0.99222,0.995,0.59949,1.5806,0.59021,1.86761,0.000288982,0.000288982,0.000288982
20,14.039,0.61003,0.39416,0.95053,0.94172,0.98117,0.995,0.62055,1.58626,0.60621,1.7692,0.000297454,0.000297454,0.000297454
21,14.6801,0.77901,0.46323,0.96508,0.92749,0.97691,0.995,0.6004,1.5668,0.6257,1.77072,0.000305192,0.000305192,0.000305192
22,15.3264,0.6924,0.43759,0.94492,0.92744,0.97832,0.995,0.60209,1.57072,0.63117,1.77199,0.000312197,0.000312197,0.000312197
23,16.0187,0.70606,0.42313,0.91779,0.92087,0.98279,0.995,0.63411,1.60149,0.60583,1.89205,0.000318468,0.000318468,0.000318468
24,16.7836,0.7369,0.49668,1.09982,0.85466,1,0.995,0.62234,1.72383,0.59868,2.21681,0.000324006,0.000324006,0.000324006
25,17.5855,1.04327,0.79783,1.34421,0.84061,0.95984,0.93798,0.55019,1.81721,0.6126,2.42418,0.000328812,0.000328812,0.000328812
26,18.2873,0.86934,0.4828,1.10369,0.87854,0.96667,0.93757,0.58301,1.74062,0.62566,2.2855,0.000332883,0.000332883,0.000332883
27,19.003,0.77005,0.47212,1.03511,0.92844,1,0.965,0.59824,1.58497,0.60936,2.01841,0.000336222,0.000336222,0.000336222
28,19.671,0.67388,0.45339,1.00181,0.92844,1,0.965,0.59824,1.58497,0.60936,2.01841,0.000338827,0.000338827,0.000338827
29,20.3534,0.70571,0.40878,0.9823,0.92894,1,0.965,0.5702,1.56313,0.65817,1.92943,0.000340699,0.000340699,0.000340699
30,21.0457,0.76734,0.38856,0.98006,0.91296,0.99322,0.965,0.56873,1.54857,0.69813,1.93095,0.000341838,0.000341838,0.000341838
31,21.779,0.81011,0.45371,1.06548,0.91296,0.99322,0.965,0.56873,1.54857,0.69813,1.93095,0.000342244,0.000342244,0.000342244
32,22.509,0.78027,0.53754,1.12346,0.9195,1,0.975,0.57843,1.49996,0.68315,1.89957,0.000341916,0.000341916,0.000341916
33,23.2524,0.72295,0.37794,0.9833,0.91083,0.99528,0.965,0.58744,1.52725,0.66034,1.95393,0.000340855,0.000340855,0.000340855
34,23.9929,0.62329,0.41117,1.03536,0.91083,0.99528,0.965,0.58744,1.52725,0.66034,1.95393,0.000339061,0.000339061,0.000339061
35,24.7195,0.62297,0.39604,0.91596,0.88239,0.94816,0.90081,0.54695,1.6433,0.59263,2.14427,0.000336533,0.000336533,0.000336533
36,25.4256,0.66248,0.40398,0.95086,0.87687,0.94467,0.90353,0.55815,1.69616,0.58239,2.21766,0.000333272,0.000333272,0.000333272
37,26.1215,0.73249,0.43528,1.03215,0.87687,0.94467,0.90353,0.55815,1.69616,0.58239,2.21766,0.000329278,0.000329278,0.000329278
38,26.8266,0.6871,0.40663,1.0031,0.89694,0.95658,0.90353,0.5611,1.66935,0.57761,2.20476,0.000324551,0.000324551,0.000324551
39,27.5346,0.65136,0.38839,0.95817,0.90297,0.96667,0.90278,0.53668,1.58353,0.59448,2.0938,0.00031909,0.00031909,0.00031909
40,28.2305,0.6053,0.36875,1.00759,0.90297,0.96667,0.90278,0.53668,1.58353,0.59448,2.0938,0.000312896,0.000312896,0.000312896
41,28.9436,0.57099,0.43296,0.92446,0.92923,1,0.965,0.56674,1.62551,0.67681,2.08804,0.000305969,0.000305969,0.000305969
42,29.6627,0.76095,0.50089,1.12873,0.93723,1,0.985,0.55581,1.67081,0.72681,2.09834,0.000298309,0.000298309,0.000298309
43,30.3448,0.62196,0.45818,1.0186,0.93723,1,0.985,0.55581,1.67081,0.72681,2.09834,0.000289915,0.000289915,0.000289915
44,31.0676,0.74816,0.40081,1.01896,0.94257,1,0.985,0.56329,1.69705,0.72263,2.13971,0.000280789,0.000280789,0.000280789
45,31.7495,0.74453,0.43342,0.97222,0.94257,1,0.985,0.56329,1.69705,0.72263,2.13971,0.000270928,0.000270928,0.000270928
46,32.4608,0.61629,0.36163,0.93915,0.93929,0.9959,0.985,0.59199,1.66059,0.65445,2.15561,0.000260335,0.000260335,0.000260335
47,33.154,0.64152,0.40458,0.9951,0.93929,0.9959,0.985,0.59199,1.66059,0.65445,2.15561,0.000249008,0.000249008,0.000249008
48,33.8517,0.57514,0.34521,0.94738,0.92558,0.98737,0.995,0.59839,1.63766,0.61243,2.22231,0.000236949,0.000236949,0.000236949
49,34.531,0.54626,0.35253,0.94643,0.92558,0.98737,0.995,0.59839,1.63766,0.61243,2.22231,0.000224155,0.000224155,0.000224155
50,35.2306,0.58706,0.37222,0.91592,0.93452,0.97936,0.995,0.58911,1.67407,0.60404,2.27949,0.000210629,0.000210629,0.000210629
51,52.8838,0.61694,0.36013,0.96217,0.93452,0.97936,0.995,0.58911,1.67407,0.60404,2.27949,0.000194425,0.000194425,0.000194425
52,53.6037,0.67143,0.42897,1.06205,0.92389,0.97971,0.995,0.57511,1.66907,0.57973,2.25842,0.000176094,0.000176094,0.000176094
53,54.2839,0.59414,0.33807,0.96534,0.92389,0.97971,0.995,0.57511,1.66907,0.57973,2.25842,0.000157762,0.000157762,0.000157762
54,54.9976,0.57507,0.35598,0.99226,0.91811,0.98249,0.985,0.57734,1.627,0.5641,2.17655,0.000139431,0.000139431,0.000139431
55,55.6983,0.59472,0.3488,0.94755,0.91811,0.98249,0.985,0.57734,1.627,0.5641,2.17655,0.000121099,0.000121099,0.000121099
56,56.4075,0.61524,0.37136,1.02236,0.93034,0.97905,0.975,0.56646,1.5864,0.56316,2.10152,0.000102768,0.000102768,0.000102768
57,57.0814,0.5407,0.32916,0.95312,0.93034,0.97905,0.975,0.56646,1.5864,0.56316,2.10152,8.4436e-05,8.4436e-05,8.4436e-05
58,57.7806,0.58767,0.35248,0.8879,0.93593,0.97881,0.975,0.56799,1.5828,0.57157,2.08558,6.61045e-05,6.61045e-05,6.61045e-05
59,58.4555,0.49951,0.31714,0.92466,0.93593,0.97881,0.975,0.56799,1.5828,0.57157,2.08558,4.7773e-05,4.7773e-05,4.7773e-05
60,59.1725,0.50994,0.2999,0.89167,0.93906,0.97883,0.965,0.56368,1.58249,0.58419,2.08875,2.94415e-05,2.94415e-05,2.94415e-05
